,오징어두루치기,ojingeo duruchigi,オジンオドゥルチギ,辣炒鱿鱼
,오징어통찜,ojingeo tongjjim,オジンオトンチム,清蒸鱿鱼
,오징어바,ojingeo bar,オジンオバ,鱿鱼鱼糕棒
,오징어핫바,ojingeo hot bar,オジンオハッパ,鱿鱼鱼糕棒
,오징어회덮밥,ojingeo hoe deopbap,オジンオフェ・ドッパプ,鱿鱼生鱼片盖饭
,오징어회무침,ojingeo hoe muchim,オジンオフェムチム,凉拌鱿鱼生鱼片
,오징어불고기,ojingeo bulgogi,オジンオブルゴギ,辣炒鱿鱼
,오징어볶음,ojingeo bokkeum,オジンオボクム,辣炒鱿鱼 
,오징어맛바,ojingeo mat bar,オジンオマッパ,鱿鱼鱼糕棒
,오징어무침,ojingeo muchim,オジンオムチム,凉拌鱿鱼
,오징어물회,ojingeo mulhoe,オジンオムルフェ,水拌鱿鱼生鱼片
,오징어링,ojingeo ring,オジンオリン,鱿鱼圈
,오색대하찜,osaek daeha jjim,オセク・テハチム,炖五色大虾
,오색순대,osaek sundae,オセクスンデ,五色血肠
,오색탕평채,osaek tangpyeongchae,オセクタンピョンチェ,五色汤平菜
,오색겨자채,osaek gyeoja chae,オセッキョジャチェ,五色芥末汁冷菜
,어성초,eoseongcho,オソンチョ,鱼腥草
